boilerplate_ratio,main_chars,path,area
0.724,942,q/ichimon/s/TF-L-008/index.html,q_ichimon
0.655,1009,q/ichimon/s/TF-PF-121/index.html,q_ichimon
0.655,994,q/ichimon/s/TF-L-002/index.html,q_ichimon
0.655,987,q/ichimon/s/TF-L-017/index.html,q_ichimon
0.655,981,q/ichimon/s/TF-L-016/index.html,q_ichimon
0.655,949,q/ichimon/s/TF-PC-130/index.html,q_ichimon
0.655,922,q/ichimon/s/TF-L-009/index.html,q_ichimon
0.655,910,q/ichimon/s/TF-L-012/index.html,q_ichimon
0.643,960,q/ichimon/s/TF-L-003/index.html,q_ichimon
0.633,977,q/ichimon/s/TF-L-022/index.html,q_ichimon
0.633,930,q/ichimon/s/TF-L-021/index.html,q_ichimon
0.633,913,q/ichimon/s/TF-L-019/index.html,q_ichimon
0.615,963,q/ichimon/s/TF-L-014/index.html,q_ichimon
0.615,932,q/ichimon/s/TF-L-015/index.html,q_ichimon
0.615,890,q/ichimon/s/TF-L-011/index.html,q_ichimon
0.609,873,q/ichimon/s/TF-PF-137/index.html,q_ichimon
0.6,973,q/ichimon/s/TF-L-018/index.html,q_ichimon
0.593,908,q/ichimon/s/TF-L-013/index.html,q_ichimon
0.593,908,q/ichimon/s/TF-L-010/index.html,q_ichimon
0.586,957,q/ichimon/s/TF-L-176/index.html,q_ichimon
0.586,949,q/ichimon/s/TF-PF-093/index.html,q_ichimon
0.586,938,q/ichimon/s/TF-PC-116/index.html,q_ichimon
0.586,937,q/ichimon/s/TF-PC-094/index.html,q_ichimon
0.586,888,q/ichimon/s/TF-PC-117/index.html,q_ichimon
0.586,881,q/ichimon/s/TF-PC-114/index.html,q_ichimon
0.571,945,q/ichimon/s/TF-PC-002/index.html,q_ichimon
0.571,905,q/ichimon/s/TF-L-038/index.html,q_ichimon
0.567,990,q/ichimon/s/TF-PF-122/index.html,q_ichimon
0.567,900,q/ichimon/s/TF-PC-109/index.html,q_ichimon
0.56,861,q/ichimon/s/TF-L-036/index.html,q_ichimon
0.556,1003,q/ichimon/s/TF-L-001/index.html,q_ichimon
0.556,962,q/ichimon/s/TF-PC-075/index.html,q_ichimon
0.556,934,q/ichimon/s/TF-PC-009/index.html,q_ichimon
0.556,905,q/ichimon/s/TF-PF-145/index.html,q_ichimon
0.556,891,q/ichimon/s/TF-L-040/index.html,q_ichimon
0.552,993,q/ichimon/s/TF-PC-010/index.html,q_ichimon
0.552,946,q/ichimon/s/TF-L-121/index.html,q_ichimon
0.552,926,q/ichimon/s/TF-L-020/index.html,q_ichimon
0.548,976,q/ichimon/s/TF-PF-142/index.html,q_ichimon
0.548,920,q/ichimon/s/TF-PC-044/index.html,q_ichimon
0.538,908,q/ichimon/s/TF-L-124/index.html,q_ichimon
0.538,899,q/ichimon/s/TF-PC-076/index.html,q_ichimon
0.536,1046,q/practice/p562/index.html,q_practice
0.536,1037,q/ichimon/s/TF-L-083/index.html,q_ichimon
0.536,1032,q/practice/p548/index.html,q_practice
0.536,994,q/practice/p538/index.html,q_practice
0.536,934,q/ichimon/s/TF-L-039/index.html,q_ichimon
0.536,907,q/ichimon/s/TF-PF-141/index.html,q_ichimon
0.536,894,q/ichimon/s/TF-PC-115/index.html,q_ichimon
0.536,855,q/ichimon/s/TF-PC-079/index.html,q_ichimon
0.533,1015,q/practice/p045/index.html,q_practice
0.522,877,q/ichimon/s/TF-PF-124/index.html,q_ichimon
0.519,980,q/ichimon/s/TF-L-172/index.html,q_ichimon
0.519,978,q/ichimon/s/TF-L-200/index.html,q_ichimon
0.519,968,q/ichimon/s/TF-PF-092/index.html,q_ichimon
0.519,965,q/ichimon/s/TF-PC-006/index.html,q_ichimon
0.519,933,q/ichimon/s/TF-PC-108/index.html,q_ichimon
0.519,924,q/ichimon/s/TF-PC-001/index.html,q_ichimon
0.519,907,q/ichimon/s/TF-PC-057/index.html,q_ichimon
0.519,904,q/ichimon/s/TF-PC-050/index.html,q_ichimon
0.519,892,q/ichimon/s/TF-PC-077/index.html,q_ichimon
0.517,1037,q/practice/p529/index.html,q_practice
0.517,1036,q/ichimon/s/TF-PF-001/index.html,q_ichimon
0.517,1027,q/ichimon/s/TF-PF-006/index.html,q_ichimon
0.517,1020,q/practice/p722/index.html,q_practice
0.517,1020,q/ichimon/s/TF-PF-027/index.html,q_ichimon
0.517,1016,q/practice/p557/index.html,q_practice
0.517,1015,q/ichimon/s/TF-L-049/index.html,q_ichimon
0.517,995,q/ichimon/s/TF-PF-003/index.html,q_ichimon
0.517,995,q/ichimon/s/TF-L-173/index.html,q_ichimon
0.517,983,q/ichimon/s/TF-PF-129/index.html,q_ichimon
0.517,978,q/ichimon/s/TF-PF-128/index.html,q_ichimon
0.517,975,q/ichimon/s/TF-L-050/index.html,q_ichimon
0.517,971,q/ichimon/s/TF-PF-125/index.html,q_ichimon
0.517,971,q/ichimon/s/TF-PC-025/index.html,q_ichimon
0.517,963,q/ichimon/s/TF-L-157/index.html,q_ichimon
0.517,962,q/ichimon/s/TF-L-123/index.html,q_ichimon
0.517,959,q/ichimon/s/TF-L-054/index.html,q_ichimon
0.517,956,q/ichimon/s/TF-L-159/index.html,q_ichimon
0.517,955,q/ichimon/s/TF-PF-050/index.html,q_ichimon
0.517,951,q/ichimon/s/TF-PC-015/index.html,q_ichimon
0.517,951,q/ichimon/s/TF-L-062/index.html,q_ichimon
0.517,946,q/ichimon/s/TF-L-164/index.html,q_ichimon
0.517,941,q/ichimon/s/TF-PC-021/index.html,q_ichimon
0.517,940,q/ichimon/s/TF-L-151/index.html,q_ichimon
0.517,937,q/ichimon/s/TF-PC-051/index.html,q_ichimon
0.517,934,q/ichimon/s/TF-L-175/index.html,q_ichimon
0.517,931,q/ichimon/s/TF-PC-088/index.html,q_ichimon
0.517,929,q/ichimon/s/TF-PC-078/index.html,q_ichimon
0.517,916,q/ichimon/s/TF-PC-053/index.html,q_ichimon
0.517,905,q/ichimon/s/TF-PC-121/index.html,q_ichimon
0.517,902,q/ichimon/s/TF-PC-112/index.html,q_ichimon
0.517,902,q/ichimon/s/TF-PC-058/index.html,q_ichimon
0.517,901,q/ichimon/s/TF-PC-111/index.html,q_ichimon
0.517,894,q/ichimon/s/TF-PC-127/index.html,q_ichimon
0.517,875,q/ichimon/s/TF-PC-055/index.html,q_ichimon
0.517,873,q/ichimon/s/TF-PC-129/index.html,q_ichimon
0.516,1075,q/practice/p276/index.html,q_practice
0.516,1039,q/practice/p164/index.html,q_practice
0.5,1198,q/practice/p590/index.html,q_practice
0.5,1161,q/practice/p568/index.html,q_practice
0.5,1144,q/practice/p624/index.html,q_practice
0.5,1122,q/practice/p564/index.html,q_practice
0.5,1121,q/practice/p063/index.html,q_practice
0.5,1119,q/practice/p565/index.html,q_practice
0.5,1108,q/practice/p572/index.html,q_practice
0.5,1106,q/ichimon/s/TF-PF-030/index.html,q_ichimon
