hub_file,slug,title,column,length,min_recommended
comparisons.csv,seidenki-setchi,静電気対策と接地,common_mistakes,18,20
comparisons.csv,kikenbunrui-dai4-s32,危険物の分類と第4類,common_mistakes,15,20
comparisons.csv,kikenbunrui-dai4-s32,危険物の分類と第4類,memory_tip,11,15
comparisons.csv,tank-chozo-okugai-s32,屋外タンク貯蔵と屋内タンク,memory_tip,12,15
comparisons.csv,shitei-suryo-beisu-s32,指定数量と倍数,common_mistakes,15,20
comparisons.csv,shitei-suryo-beisu-s32,指定数量と倍数,memory_tip,11,15
comparisons.csv,yobo-kitei-hoan-s32,予防規程と保安管理,memory_tip,10,15
comparisons.csv,dai4-sui-futeki-s32,第4類と水消火の不適切性,memory_tip,11,15
comparisons.csv,ido-tank-isou-s32,移動タンク貯蔵所と移送,common_mistakes,15,20
comparisons.csv,ido-tank-isou-s32,移動タンク貯蔵所と移送,memory_tip,11,15
comparisons.csv,shobo-seirei-s32,消防法と危険物政令,common_mistakes,18,20
comparisons.csv,shobo-seirei-s32,消防法と危険物政令,memory_tip,13,15
numbers.csv,seidenki-taisho-velocity,静電気対策の流速制限,common_mistakes,19,20
numbers.csv,seidenki-taisho-velocity,静電気対策の流速制限,memory_tip,14,15
numbers.csv,yobou-kitei-ninzu,予防規程作成義務の規模,common_mistakes,18,20
numbers.csv,yobou-kitei-ninzu,予防規程作成義務の規模,memory_tip,11,15
numbers.csv,shoubo-todoke-kikan,届出・許可の届出期間,common_mistakes,18,20
numbers.csv,hoan-kyori-keisan,保安距離算定の倍数,common_mistakes,17,20
numbers.csv,hoan-kyori-keisan,保安距離算定の倍数,memory_tip,10,15
numbers.csv,shiken-9-6-6,科目別足切り9・6・6,common_mistakes,15,20
numbers.csv,shiken-9-6-6,科目別足切り9・6・6,memory_tip,12,15
numbers.csv,shoubo-shiken-2026,2026年度試験日程確認,common_mistakes,18,20
numbers.csv,shoubo-shiken-2026,2026年度試験日程確認,memory_tip,11,15
numbers.csv,tenken-kiroku-hozon,点検記録の保存期間,common_mistakes,18,20
numbers.csv,tenken-kiroku-hozon,点検記録の保存期間,memory_tip,11,15
numbers.csv,shitei-suryo-dai4-s32,第4類の指定数量（代表）,memory_tip,10,15
numbers.csv,tank-taishin-kyori-s32,タンク貯蔵所の耐震・距離,memory_tip,10,15
numbers.csv,beisu-2bai-4bai-s32,指定数量の2倍・4倍,memory_tip,11,15
numbers.csv,yobo-kitei-600kl-s32,予防規程作成の規模基準,memory_tip,11,15
